Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11,Q12,Q13,Q14,Q15
3,2,1,1,2,3,2,3,2,4,1,1,1,1,1,1,2,1,3,2,2
2,1,2,1,1,2,1,1,2,1,2,1,2,1,3,3,3,3,1,"2,3,5","1,4,5"
1,1,2,2,1,1,3,1,2,4,1,2,1,2,4,1,4,1,3,1,2
3,1,3,1,1,2,2,3,2,1,1,3,1,3,3,2,3,1,1,"1,5",2
3,1,3,1,1,2,2,1,1,1,1,3,1,3,3,2,3,1,1,"1,5",2
1,2,1,1,1,1,3,3,1,1,1,1,1,4,3,3,3,3,1,"2,5","1,5"
2,1,1,1,2,2,1,3,2,4,1,1,2,2,2,1,1,3,2,"2,4",3
2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,3,1,3,2,4,2
1,1,1,1,1,1,2,3,2,3,1,2,1,3,3,2,4,1,3,,"2,5"
1,1,3,1,2,2,1,1,1,1,1,2,1,3,3,2,1,,,1,2
2,1,1,1,1,2,2,3,1,2,4,1,2,4,3,2,3,3,1,4,"1,5"
3,1,3,1,1,3,3,3,1,2,1,1,1,2,1,3,,2,2,5,1
2,1,3,1,1,3,2,3,2,1,3,2,2,4,4,4,2,,2,1,1
2,1,1,1,1,3,2,3,1,2,4,1,2,4,4,3,3,3,1,1,3
1,1,2,1,1,1,2,1,2,4,1,2,2,2,2,2,3,1,1,,1
1,1,2,2,1,1,,2,2,1,3,1,1,1,2,4,3,1,3,,2
2,1,2,2,2,3,1,3,1,4,1,1,3,3,1,1,3,3,2,1,3
3,1,2,1,1,3,2,3,2,1,4,1,2,2,3,3,4,3,1,"2,3,5","1,3,5"
3,2,2,1,1,2,4,3,2,1,1,4,1,3,3,2,4,1,2,1,2
1,1,3,1,1,1,2,1,1,1,3,2,1,3,3,1,1,1,2,1,3
2,1,2,2,1,2,2,1,1,1,1,1,1,3,3,1,4,3,4,"1,2",2
